iter	Passed	Remaining
552	1195	966
553	1197	963
554	1198	961
555	1199	958
556	1201	955
557	1203	952
558	1204	950
559	1206	947
560	1208	945
561	1209	942
562	1211	940
563	1212	937
564	1214	934
565	1215	932
566	1217	929
567	1219	927
568	1221	925
569	1223	922
570	1225	920
571	1229	919
572	1231	917
573	1234	915
574	1236	913
575	1239	912
576	1241	909
577	1243	907
578	1245	905
579	1248	903
580	1250	901
581	1252	899
582	1254	897
583	1257	895
584	1259	893
585	1261	891
586	1263	889
587	1266	887
588	1268	885
589	1270	882
590	1272	880
591	1274	878
592	1276	875
593	1278	874
594	1281	871
595	1282	869
596	1285	867
597	1286	865
598	1289	863
599	1291	860
600	1293	858
601	1295	856
602	1297	854
603	1299	851
604	1301	849
605	1303	847
606	1305	845
607	1307	843
608	1309	840
609	1311	838
610	1313	836
611	1315	834
612	1317	831
613	1319	829
614	1321	827
615	1323	824
616	1325	822
617	1327	820
618	1329	818
619	1331	815
620	1332	813
621	1334	811
622	1336	809
623	1338	806
624	1340	804
625	1342	801
626	1344	799
627	1345	797
628	1348	795
629	1350	792
630	1352	790
631	1354	788
632	1356	786
633	1359	784
634	1361	782
635	1363	780
636	1365	778
637	1368	776
638	1370	774
639	1372	772
640	1374	769
641	1376	767
642	1379	765
643	1381	763
644	1384	761
645	1386	759
646	1389	757
647	1391	755
648	1394	753
649	1396	752
650	1398	749
651	1401	748
652	1404	746
653	1406	744
654	1409	742
655	1412	740
656	1414	738
657	1417	736
658	1419	734
659	1422	732
660	1423	730
661	1426	728
662	1428	726
663	1431	724
664	1433	721
665	1435	719
666	1437	717
667	1440	715
668	1441	713
669	1443	711
670	1445	708
671	1447	706
672	1449	704
673	1451	701
674	1452	699
675	1454	696
676	1455	694
677	1457	692
678	1459	689
679	1461	687
680	1462	685
681	1464	682
682	1466	680
683	1468	678
684	1469	675
685	1471	673
686	1473	671
687	1474	668
688	1476	666
689	1478	664
690	1479	661
691	1481	659
692	1483	657
693	1485	654
694	1487	652
695	1489	650
696	1490	648
697	1492	645
698	1494	643
699	1496	641
700	1497	638
701	1499	636
702	1500	634
703	1502	631
704	1504	629
705	1505	627
706	1507	624
707	1509	622
708	1512	620
709	1513	618
710	1515	615
711	1516	613
712	1518	611
713	1520	609
714	1522	606
715	1524	604
716	1526	602
717	1527	600
718	1529	597
719	1530	595
720	1532	593
721	1534	590
722	1537	588
723	1538	586
724	1540	584
725	1541	581
726	1544	579
727	1547	578
728	1549	575
729	1551	573
730	1554	571
731	1556	569
732	1558	567
733	1561	565
734	1563	563
735	1565	561
736	1568	559
737	1570	557
738	1572	555
739	1575	553
740	1577	551
741	1579	549
742	1582	547
743	1584	545
744	1586	543
745	1589	541
746	1591	539
747	1594	537
748	1596	535
749	1598	532
750	1600	530
751	1602	528
752	1604	526
753	1606	524
754	1608	521
755	1610	519
756	1612	517
757	1614	515
758	1616	513
759	1618	511
760	1620	508
761	1622	506
762	1623	504
763	1625	502
764	1627	499
765	1628	497
766	1630	495
767	1631	492
768	1633	490
769	1635	488
770	1637	486
771	1638	484
772	1640	481
773	1642	479
774	1644	477
775	1645	475
776	1647	472
777	1649	470
778	1650	468
779	1652	465
780	1653	463
781	1655	461
782	1657	459
783	1658	457
784	1660	454
785	1662	452
786	1663	450
787	1665	448
788	1667	445
789	1669	443
790	1670	441
791	1672	439
792	1673	436
793	1675	434
794	1677	432
795	1679	430
796	1681	428
797	1682	425
798	1684	423
799	1686	421
800	1687	419
801	1689	417
802	1691	414
803	1692	412
804	1694	410
805	1695	408
806	1697	406
807	1699	403
808	1700	401
809	1702	399
810	1704	397
811	1706	395
812	1707	392
813	1709	390
814	1711	388
815	1713	386
816	1715	384
817	1716	381
818	1717	379
819	1720	377
820	1721	375
821	1723	373
822	1725	370
823	1726	368
824	1728	366
825	1730	364
826	1731	362
827	1733	360
828	1734	357
829	1736	355
830	1737	353
831	1739	351
832	1741	349
833	1742	346
834	1744	344
835	1746	342
836	1748	340
837	1749	338
838	1751	336
839	1753	334
840	1755	331
841	1757	329
842	1758	327
843	1760	325
844	1761	323
845	1763	321
846	1765	318
847	1767	316
848	1769	314
849	1770	312
850	1772	310
851	1774	308
852	1776	306
853	1777	303
854	1779	301
855	1781	299
856	1783	297
857	1784	295
858	1786	293
859	1788	291
860	1790	289
861	1792	286
862	1793	284
863	1795	282
864	1797	280
865	1799	278
866	1801	276
867	1802	274
868	1804	272
869	1806	269
870	1808	267
871	1810	265
872	1813	263
873	1817	262
874	1820	260
875	1823	258
876	1826	256
877	1829	254
878	1831	252
879	1834	250
880	1836	248
881	1838	246
882	1841	243
883	1843	241
884	1846	239
885	1848	237
886	1851	235
887	1853	233
888	1856	231
889	1858	229
890	1860	227
891	1862	225
892	1865	223
893	1867	221
894	1869	219
895	1871	217
896	1873	215
897	1874	212
898	1876	210
899	1878	208
900	1880	206
901	1882	204
902	1884	202
903	1886	200
904	1888	198
905	1890	196
906	1892	194
907	1894	191
908	1896	189
909	1898	187
910	1900	185
911	1902	183
912	1904	181
913	1906	179
914	1907	177
915	1909	175
916	1911	173
917	1913	170
918	1915	168
919	1917	166
920	1919	164
921	1921	162
922	1922	160
923	1924	158
924	1926	156
925	1927	154
926	1929	151
927	1931	149
928	1933	147
929	1935	145
930	1936	143
931	1938	141
932	1940	139
933	1941	137
934	1943	135
935	1945	133
936	1947	130
937	1949	128
938	1950	126
939	1952	124
940	1954	122
941	1955	120
942	1957	118
943	1959	116
944	1961	114
945	1962	112
946	1964	109
947	1966	107
948	1968	105
949	1969	103
950	1972	101
951	1973	99
952	1975	97
953	1977	95
954	1978	93
955	1980	91
956	1982	89
957	1984	86
958	1985	84
959	1987	82
960	1988	80
961	1990	78
962	1992	76
963	1993	74
964	1995	72
965	1997	70
966	1998	68
967	2000	66
968	2002	64
969	2004	61
970	2005	59
971	2007	57
972	2009	55
973	2011	53
974	2013	51
975	2015	49
976	2017	47
977	2019	45
978	2020	43
979	2022	41
980	2024	39
981	2026	37
982	2028	35
983	2029	33
984	2031	30
985	2033	28
986	2034	26
987	2036	24
988	2038	22
989	2039	20
990	2041	18
991	2043	16
992	2045	14
993	2047	12
994	2048	10
995	2050	8
996	2052	6
997	2054	4
998	2055	2
999	2057	0
